energies,entropy
-2048.0,330843.42248535156
-2047.000244081035,0.0
-2046.0004881620698,0.0
-2045.0007322431047,0.0
-2044.0009763241396,0.0
-2043.0012204051745,0.0
-2042.0014644862094,0.0
-2041.0017085672443,0.0
-2040.0019526482793,330850.28674316406
-2039.0021967293142,0.0
-2038.002440810349,0.0
-2037.002684891384,0.0
-2036.0029289724189,330851.2412109375
-2035.0031730534538,0.0
-2034.0034171344887,0.0
-2033.0036612155236,0.0
-2032.0039052965585,330856.78674316406
-2031.0041493775934,0.0
-2030.0043934586283,0.0
-2029.0046375396632,0.0
-2028.0048816206981,330857.9626464844
-2027.005125701733,0.0
-2026.005369782768,0.0
-2025.0056138638029,0.0
-2024.0058579448378,330862.46337890625
-2023.0061020258727,0.0
-2022.0063461069076,0.0
-2021.0065901879425,0.0
-2020.0068342689774,330864.1374511719
-2019.0070783500123,0.0
-2018.0073224310472,0.0
-2017.0075665120821,0.0
-2016.007810593117,330868.12744140625
-2015.008054674152,0.0
-2014.0082987551866,0.0
-2013.0085428362215,0.0
-2012.0087869172564,330870.0378417969
-2011.0090309982913,0.0
-2010.0092750793262,0.0
-2009.0095191603612,0.0
-2008.009763241396,330873.5509033203
-2007.010007322431,0.0
-2006.0102514034659,0.0
-2005.0104954845008,0.0
-2004.0107395655357,330875.78845214844
-2003.0109836465706,0.0
-2002.0112277276055,0.0
-2001.0114718086404,0.0
-2000.0117158896753,330878.7292480469
-1999.0119599707102,0.0
-1998.0122040517451,0.0
-1997.01244813278,0.0
-1996.012692213815,330881.13635253906
-1995.0129362948499,0.0
-1994.0131803758848,0.0
-1993.0134244569197,0.0
-1992.0136685379546,330883.9853515625
-1991.0139126189895,0.0
-1990.0141567000244,0.0
-1989.0144007810593,0.0
-1988.0146448620942,330886.13427734375
-1987.014888943129,0.0
-1986.015133024164,0.0
-1985.015377105199,0.0
-1984.0156211862338,330889.1188964844
-1983.0158652672687,0.0
-1982.0161093483036,0.0
-1981.0163534293386,0.0
-1980.0165975103735,330891.4482421875
-1979.0168415914084,0.0
-1978.0170856724433,0.0
-1977.0173297534782,0.0
-1976.017573834513,330894.2315673828
-1975.017817915548,0.0
-1974.018061996583,0.0
-1973.0183060776178,0.0
-1972.0185501586527,330896.58532714844
-1971.0187942396876,0.0
-1970.0190383207225,0.0
-1969.0192824017574,0.0
-1968.0195264827923,330899.01989746094
-1967.0197705638273,0.0
-1966.0200146448622,0.0
-1965.020258725897,0.0
